Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
22,2014-01-01,0.2,15.3,8.2,11.41,9.1,1.46,197.5 S,338.1 NO,207.58,82.66,1.1,2.72,
22,2014-01-02,3.8,18.5,7.8,12.49,24.8,6.2,62.7 NE,15 N,271.12,73.11,2,3.76,
22,2014-01-03,0,17.4,3.5,9.56,17.8,3.52,65.2 NE,17.8 N,374.17,70.8,2.4,4.48,
22,2014-01-04,0,20.3,4.3,11.42,17.4,4.47,200.7 S,94.5 E,393.31,61.56,2.7,4.89,
22,2014-01-05,0,21,7.2,12.94,13,3.4,220 S,135.3 SE,355.91,55.6,2.5,4.65,
22,2014-01-06,0,16.5,7.5,11.92,12.2,3.9,156.2 SE,22.8 N,173.77,59.38,1.2,3.06,
22,2014-01-07,0,16.9,2.3,8.84,9.3,4.09,187.2 S,2 N,362.14,69.44,2.2,4.4,
22,2014-01-08,0,20.2,2.6,11.06,15.3,3.69,173.2 SE,46 NE,409.86,62.05,2.7,4.92,
22,2014-01-09,0,20.8,3.3,12.17,17.6,5.62,219.9 S,95.4 E,438.59,46.67,3.4,5.9,
22,2014-01-10,0,21.6,2.9,12.57,21.6,6.53,241.1 SO,123.2 E,423.36,43.95,3.5,6.02,
22,2014-01-11,0.6,13.9,7.1,10.28,14,5.24,351.6 NO,2.4 N,139.97,60.3,0.9,2.72,
22,2014-01-12,4,15.2,6.2,11.31,15.2,3.87,67.2 NE,64 NE,203.07,73.27,1.2,2.93,
22,2014-01-13,0.2,20.2,3.9,11.88,10,2.89,328 NO,10.1 N,457.54,60.84,3.2,5.22,
22,2014-01-14,0,20.1,4.9,11.56,14,4.64,353.3 NO,357.1 NO,444.67,49.38,3,5.68,
22,2014-01-15,0,17.2,4.3,10.15,11.2,5.51,65.3 NE,25.2 N,449.66,47.55,3.1,5.97,
22,2014-01-16,0,19.2,0.2,8.82,10.2,3.51,,355.3 NO,435.79,50.32,2.7,5.44,
22,2014-01-17,0,20.1,1.8,11.04,21.4,4.97,72.4 NE,37.8 N,459.1,39.36,3.6,6.23,
22,2014-01-18,0,19.9,0.6,10.1,13.6,3.15,59.2 NE,7.7 N,420.73,43.29,2.9,5.53,
22,2014-01-19,0,20.7,2.1,11.34,15.1,3.92,73.1 NE,28.5 N,343.63,42.75,2.6,5.07,
22,2014-01-20,0,22.5,1.3,12.26,10.6,2.82,277.5 O,3.8 N,439.94,45.33,3.3,5.49,
22,2014-01-21,0,22.5,6.9,13.91,18,6.88,47.1 NE,27.2 N,447.41,38.91,3.8,6.42,
22,2014-01-22,0,22.5,2.2,12.25,9.7,3.25,202.7 S,61.3 NE,452.32,44.07,3.2,5.56,
22,2014-01-23,0,24.5,5.3,14.27,12.5,4.25,302.1 O,70.4 NE,431.01,47.65,3.3,5.47,
22,2014-01-24,0,22.7,7.2,14.36,20.2,4.41,73.8 NE,20.1 N,437.6,57.45,3.2,5.16,
22,2014-01-25,0.2,24,7.9,15.17,10.4,3.57,25.8 N,2.2 N,436.64,55.72,3.3,5.1,
22,2014-01-26,0,24.9,5.9,15.54,16.4,4.02,264.3 SO,333.2 NO,455.41,45.36,3.9,5.56,
22,2014-01-27,0,24.6,5.5,15.1,14.3,5.16,240.5 SO,117.5 E,455.15,40.8,3.9,5.87,
22,2014-01-28,0,23.5,5.3,14.13,19.5,5.98,186 S,125.2 E,446.56,40.92,3.9,5.91,
22,2014-01-29,0,21.6,4,12.55,14.3,4.23,225.4 SO,17.8 N,464.73,47.24,3.5,5.53,
22,2014-01-30,0,22.1,3.1,12.35,9.4,3.97,344.1 NO,46.8 NE,468.28,50.16,3.6,5.51,
22,2014-01-31,0,24.2,5.3,14.2,14.1,4.89,185.9 S,107.7 E,478.14,39.35,3.9,6.16,
22,2014-02-01,0,23.6,6.4,14.41,16.8,6.36,215.2 S,121.2 E,393.86,36.65,3.5,5.93,
22,2014-02-02,0,25.7,4.5,15.35,13.1,4.68,175.2 SE,122.8 E,475.48,35.73,3.9,6.22,
22,2014-02-03,0,24.9,4.4,15.34,18.2,6.26,206.7 S,122.1 E,460.08,35.25,4.2,6.36,
22,2014-02-04,0,25.2,6.3,15.42,19,6.56,247.6 SO,154.7 SE,469.06,47.01,4.3,6,
22,2014-02-05,0,24.4,5.1,14.97,13.6,4.89,210.6 S,104.2 E,480.82,42.51,4,5.91,
22,2014-02-06,0,24.5,7.3,15.81,14.8,4.92,246.5 SO,138 SE,474.32,42.51,4,5.89,
22,2014-02-07,0,24.2,6.3,15.24,16.1,5.03,267.4 SO,1.6 N,464.18,39.47,3.7,5.92,
22,2014-02-08,0,25.6,5.7,15.84,12.3,3.19,214.7 S,2.6 N,464.91,32.32,3.8,5.83,
22,2014-02-09,0,25.7,9,16.81,10,4.24,284.3 O,358.9 NO,476.89,32.85,4.2,6.1,
22,2014-02-10,0,26,6.2,16.92,11.5,4.12,35.7 N,43 N,485.58,30.34,4.5,6.2,
22,2014-02-11,0,25.2,7.3,15.86,22,6.7,240.4 SO,148.3 SE,475.35,28.65,4.8,6.7,
22,2014-02-12,0,24.2,6.3,15.35,9.9,4.01,351.6 NO,26.5 N,496.13,23.45,4.5,6.37,
22,2014-02-13,0,25.1,5.7,15.7,11.8,4.35,169.4 SE,94.1 E,503.93,23.51,4.2,6.57,
22,2014-02-14,0,25.7,6.7,16.17,7.6,3.79,42.2 N,15 N,498.02,22.48,4.3,6.47,
