Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Don Primo,13467,2014-01-01,1.6,14.4,8,10.41,6,0.93,205.2 S,26 N,165.62,88.44,0.6,2.21,
Don Primo,13467,2014-01-02,2,18.1,8.2,11.61,8,2.73,87.5 NE,53.8 NE,344.26,79.11,1.9,4,
Don Primo,13467,2014-01-03,0,16.3,4.2,9.62,6.1,2.09,81.6 NE,127.7 E,346.88,70.8,2.2,4.26,
Don Primo,13467,2014-01-04,0,18.9,1.4,9.97,9.5,2.16,243.2 SO,290.4 O,382.46,69.74,2.5,4.45,
Don Primo,13467,2014-01-05,0,19.5,2.9,11.38,8.9,1.98,232.2 SO,180.1 S,382.17,63.83,2.5,4.55,
Don Primo,13467,2014-01-06,0,17.2,5.9,10.97,10.5,1.83,14.9 N,33.5 N,218.51,72.39,1.2,3.05,
Don Primo,13467,2014-01-07,0,16.6,4.1,8.91,6.2,2.17,206.4 S,16.7 N,341.54,71.15,2.1,4.16,
Don Primo,13467,2014-01-08,0,19.9,1,9.94,9.2,2.36,243.1 SO,70.2 NE,413.34,66.41,2.5,4.76,
Don Primo,13467,2014-01-09,0,20.2,0.9,10.18,10.5,2.7,226.7 SO,135.2 SE,427.79,57.18,3,5.16,
Don Primo,13467,2014-01-10,0,20.6,0.8,11.12,13.3,3.33,230.3 SO,246.8 SO,412.69,51.12,3,5.3,
Don Primo,13467,2014-01-11,0.8,13.5,3.3,8.29,6.3,1.69,0.9 N,45.2 NE,137.1,69.23,0.5,2.33,
Don Primo,13467,2014-01-12,3.8,15.7,5.2,10.56,9.2,2.39,191.1 S,249.4 SO,260.34,74.72,1.5,3.49,
Don Primo,13467,2014-01-13,0,19.2,0.3,9.62,5.4,1.96,16.9 N,74 NE,437.79,62.49,2.8,5.07,
Don Primo,13467,2014-01-14,0,19.4,0.7,9.6,5.7,2.27,16.4 N,31.8 N,434.05,59.82,2.4,5.16,
Don Primo,13467,2014-01-15,0,16.9,2,8.93,9.1,3.13,29.5 N,59.8 NE,439.69,51.29,2.6,5.62,
Don Primo,13467,2014-01-16,0,19.3,-2.4,7.73,4.2,1.48,31.1 N,56.6 NE,405.6,56.74,2.4,4.92,
Don Primo,13467,2014-01-17,0,19.6,-1.3,9.39,4.3,1.57,10.5 N,62.6 NE,443.31,43.99,2.8,5.54,
Don Primo,13467,2014-01-18,0,19.8,-1,9.12,4.6,1.54,195.6 S,53.5 NE,420.72,48.8,2.6,5.25,
Don Primo,13467,2014-01-19,0,19.8,1.1,10.27,3.9,1.14,124.3 E,20.8 N,375.25,47.79,2.4,4.86,
Don Primo,13467,2014-01-20,0,22.2,-0.3,10.87,5.5,1.37,218.1 S,111.5 E,412.99,51.41,2.8,5,
Don Primo,13467,2014-01-21,0,21.7,4.9,12.61,7.2,3.62,6 N,49.6 NE,429.36,43.65,3.3,5.63,
Don Primo,13467,2014-01-22,0,21.7,0.1,11.32,6.1,1.8,,121.2 E,429.46,49.95,3,5.1,
Don Primo,13467,2014-01-23,0,23.2,3.4,13.14,6.6,1.64,283.2 O,215.6 S,427.5,49.65,3.2,5.04,
Don Primo,13467,2014-01-24,0,22.1,6,13.29,5.3,1.57,33.7 N,21.1 N,433.03,60.5,2.8,4.77,
Don Primo,13467,2014-01-25,0,23,5.9,13.2,7.2,2.08,292 O,32.1 N,334.64,64.69,2.3,4.01,
Don Primo,13467,2014-01-26,0,23.5,3.2,13.5,8,1.91,310.9 O,41.9 N,404.22,52.55,3.2,4.74,
Don Primo,13467,2014-01-27,0,23.5,2.6,13.56,7.5,2.15,228.5 SO,165.1 SE,442.29,45.77,3.2,5.2,
Don Primo,13467,2014-01-28,0,21.9,2.9,13.27,12.5,3.25,245.7 SO,202.4 S,422.55,45.43,3.3,5.23,
Don Primo,13467,2014-01-29,0,20.6,1.8,11.34,6.6,2.06,17.1 N,99.5 E,444.09,53.75,2.9,5.01,
Don Primo,13467,2014-01-30,0,22.4,1,11.07,6.2,1.71,21.8 N,93.3 E,451.29,56.71,3.2,4.98,
Don Primo,13467,2014-01-31,0,23.6,0.9,12.31,8.9,2.31,209.6 S,164.8 SE,460.47,48.35,3.3,5.39,
Don Primo,13467,2014-02-01,0,23.2,5.6,14.12,11,3.92,193.1 S,181.8 S,420.81,39.34,3.4,5.65,
Don Primo,13467,2014-02-02,0,24.8,6.6,14.9,10.5,3.84,197.2 S,193.2 S,465.2,36.16,3.5,6.02,
Don Primo,13467,2014-02-03,0,24.7,1.2,13.32,8.6,2.93,207.9 S,150.5 SE,449.55,41.75,3.4,5.48,
Don Primo,13467,2014-02-04,0,23.9,7,15.05,11.6,3.9,193.8 S,208.2 S,471.69,44.94,3.9,5.67,
Don Primo,13467,2014-02-05,0,23.7,1.9,13.42,8.7,2.26,198.4 S,169.4 SE,455.66,48.47,3.3,5.17,
Don Primo,13467,2014-02-06,0,23.7,4.9,14.44,8.9,2.96,249.2 SO,184.3 S,459.8,47.32,3.4,5.37,
Don Primo,13467,2014-02-07,0,23.8,3.1,14.12,10.6,2.45,280 O,306.8 O,437.25,42.89,3.2,5.22,
Don Primo,13467,2014-02-08,0,25.1,3.1,13.86,5.7,1.4,196.4 S,114.2 E,459.95,40.77,3.4,5.29,
Don Primo,13467,2014-02-09,0,26.2,4.7,15.14,5,1.79,22.8 N,27.6 N,468.48,33.22,3.3,5.62,
Don Primo,13467,2014-02-10,0,25.9,3.2,15.08,5,1.16,329.8 NO,114 E,472.45,37.84,3.4,5.38,
Don Primo,13467,2014-02-11,2,24.1,3.1,14.36,12.3,3.19,257.2 SO,172 SE,444.93,34.51,3.8,5.62,
Don Primo,13467,2014-02-12,0,23.3,2.3,14.03,6,1.75,41.9 N,53.3 NE,498.32,27.8,3.6,5.84,
Don Primo,13467,2014-02-13,0,24.8,1,13.29,8.8,2.22,189.3 S,230.7 SO,498.72,33.68,4,5.85,
Don Primo,13467,2014-02-14,0,25.3,2.4,13.96,4.1,1.23,296.3 O,78.1 NE,498.81,32.12,3.6,5.73,
Don Primo,13467,2014-02-15,0,26,3.2,15.45,5.5,2.03,99.7 E,18.4 N,490.53,26.28,3.7,6.02,
Don Primo,13467,2014-02-16,0,26.5,2.1,14.58,4.8,1.35,206.4 S,322.8 NO,500.88,30.31,3.9,5.81,
Don Primo,13467,2014-02-17,0,26.8,3.1,15.81,5.9,1.4,6.5 N,32 N,495.59,29.69,4,5.78,
Don Primo,13467,2014-02-18,0,26.8,4.9,15.96,4.8,1.4,253.1 SO,113.9 E,476.25,30.9,3.5,5.58,
Don Primo,13467,2014-02-19,0,25.7,4.7,15.82,8.1,1.41,227.5 SO,93.5 E,474.22,38.79,3.8,5.34,
Don Primo,13467,2014-02-20,0,24.1,5.4,15.57,10.2,2.58,253.2 SO,248.3 SO,425.33,38.14,3.6,5.18,
Don Primo,13467,2014-02-21,0,23.7,3.1,13.67,7.8,1.7,234.6 SO,111.7 E,416.67,41.64,2.9,4.87,
Don Primo,13467,2014-02-22,0,24.2,6.9,14.45,7.6,2.05,220 S,165.3 SE,338.62,47.08,2.7,4.32,
Don Primo,13467,2014-02-23,0,24.2,3.9,14.56,7.3,1.93,208.6 S,168.9 SE,466.44,46.57,3.6,5.23,
Don Primo,13467,2014-02-24,0,24.6,4.7,15.25,7.7,1.76,197.5 S,151.7 SE,462.74,48.2,3.7,5.17,
Don Primo,13467,2014-02-25,0,22.6,5,14.04,6,1.58,268 SO,117.3 E,292.94,50.72,2.2,3.81,
Don Primo,13467,2014-02-26,0,25,3.6,15.37,9.1,2.04,233.1 SO,298.5 O,497.21,43.93,4.2,5.54,
Don Primo,13467,2014-02-27,0,25.2,7.2,16.27,6.2,1.69,22.8 N,276.1 O,510.34,37.08,3.9,5.71,
Don Primo,13467,2014-02-28,0,27.1,1.2,14.66,7.1,1.84,213.6 S,187.4 S,521.71,32.53,4.1,5.95,
Don Primo,13467,2014-03-01,0,25.6,2,15.01,7.5,2.51,227.5 SO,212 S,500.36,35.74,4.2,5.81,
Don Primo,13467,2014-03-02,0,25.8,5.1,16.31,8.8,2.09,223.4 S,213.8 S,485.69,38.23,4,5.58,
Don Primo,13467,2014-03-03,0,25,6.1,16.32,9.4,2.96,203.6 S,156.9 SE,438.69,36.07,3.9,5.47,
Don Primo,13467,2014-03-04,0,24.4,6.8,16.16,12.2,4.17,277.7 O,213.1 S,512.17,35.07,4.4,6.19,
Don Primo,13467,2014-03-05,0,23.5,7.7,15.51,10.8,4.96,298.3 O,226.7 SO,524.5,35.49,4.3,6.38,
Don Primo,13467,2014-03-06,0,23.9,3.4,14.57,4.8,1.72,227.2 SO,140 SE,501.11,32.7,3.8,5.67,
Don Primo,13467,2014-03-07,0,23.4,3.8,14.51,11.4,3.92,237.6 SO,265.1 SO,502.37,43.24,4.4,5.85,
Don Primo,13467,2014-03-08,0.2,22.2,8.9,15.49,11.9,4.17,242.6 SO,217.7 S,403.93,49.45,3.3,5.01,
Don Primo,13467,2014-03-09,5.2,21.7,5.4,14.08,13.6,3.74,220.2 S,194.1 S,354.49,61.7,2.8,4.23,
Don Primo,13467,2014-03-10,0,20.6,7.5,13.57,46.8,17.31,220.5 S,226.2 SO,450.41,62.08,3.5,6.43,
Don Primo,13467,2014-03-11,0,23.8,-0.9,12.37,9,2.76,,186.4 S,556.05,41.5,4.4,6.14,
Don Primo,13467,2014-03-12,0,24.4,0.2,13.69,6.5,1.97,219.1 S,158.6 SE,547.36,35.52,4.4,6.16,
Don Primo,13467,2014-03-13,0,25.2,6.7,16.22,8.5,2.98,206.3 S,137.4 SE,519.2,45.97,4.4,5.89,
Don Primo,13467,2014-03-14,0,25.6,3.8,15.68,11.1,3.54,227 SO,178.3 SE,529.36,30.18,4.9,6.48,
Don Primo,13467,2014-03-15,0,25.5,3.2,15.61,10.5,4.16,226 SO,206.5 S,548.19,33.2,5,6.57,
Don Primo,13467,2014-03-16,0,23.4,6,14.25,15.4,5.81,242.9 SO,217.1 S,473.44,32.31,4.8,6.33,
Don Primo,13467,2014-03-17,0,21,2.8,10.8,9.2,4.04,14.4 N,11 N,532.95,36.55,3.7,6.3,
Don Primo,13467,2014-03-18,0,23.7,0.2,12.96,13.4,4.17,263.5 SO,257.2 SO,538.18,32.51,5,6.61,
Don Primo,13467,2014-03-19,0,24.7,3.7,15.39,11.3,2.85,196.3 S,212.6 S,511.21,41.01,4.2,5.99,
Don Primo,13467,2014-03-20,0,27.1,6.4,17.22,5.8,1.9,244.6 SO,112.1 E,501.79,46.28,4.2,5.62,
Don Primo,13467,2014-03-21,0,28.2,6.3,18.14,5.8,1.85,222.2 S,143.6 SE,529.78,50.23,4.5,5.58,
Don Primo,13467,2014-03-22,0,28.3,7.7,19.22,7.8,1.78,226.3 SO,166.4 SE,469.83,42.76,4,5.26,
Don Primo,13467,2014-03-23,0.2,28.5,7.3,19.08,12.1,2.49,295.2 O,227.7 SO,505.47,40.2,4.5,5.62,
Don Primo,13467,2014-03-24,0,27,8.7,18.74,8.5,1.99,279.2 O,309.5 O,413.43,34.79,3.6,4.97,
Don Primo,13467,2014-03-25,0,27.5,7.9,18.44,7.6,2.28,275.1 O,296.6 O,526.71,35.17,4.7,5.77,
Don Primo,13467,2014-03-26,0,25.2,6.7,16.83,12.4,3.46,240 SO,282.6 O,510.56,48.28,4.6,5.47,
Don Primo,13467,2014-03-27,0,23.9,8.8,17.01,11.4,4.53,223.8 S,237.5 SO,424.14,37.04,3.8,5.43,
Don Primo,13467,2014-03-28,0,24.2,6.9,15.99,9.2,2.16,281.7 O,308.4 O,400.34,40,3.3,4.78,
Don Primo,13467,2014-03-29,0,26.7,5.4,16.59,9.1,2.62,138.6 SE,,385.7,40.97,3.4,4.88,
Don Primo,13467,2014-03-30,0,25.1,10.6,17.72,8,2.18,218.1 S,181.9 S,468.56,44.79,3.8,5.21,
Don Primo,13467,2014-03-31,0,27,6.1,17.74,7.1,1.86,261 SO,206 S,547.87,35.21,4.7,5.95,
Don Primo,13467,2014-04-01,0,27.4,5.1,17.63,9.8,2.1,253.2 SO,192.7 S,529.19,32.21,4.8,5.93,
Don Primo,13467,2014-04-02,0,27,6.1,18.12,11.6,3.27,226.5 SO,228.3 SO,561,26.9,5.1,6.53,
Don Primo,13467,2014-04-03,0,26.4,5.5,17.73,8.8,3.06,262.8 SO,231.8 SO,501.02,26.18,4.7,6.07,
Don Primo,13467,2014-04-04,0,28.1,5,18.21,6.7,1.78,193.3 S,175.3 SE,541.26,22.4,5,6.18,
Don Primo,13467,2014-04-05,0,27.4,4.3,17.58,13.6,3.92,235.5 SO,190.9 S,537.87,24.03,5.4,6.62,
Don Primo,13467,2014-04-06,0,26.9,7.1,18.08,13.6,5.35,266.5 SO,213.4 S,552.65,28.82,5.4,6.88,
Don Primo,13467,2014-04-07,0,25.4,10.2,18.19,9.5,3.91,291.4 O,232.9 SO,488.8,28.26,4.9,6.08,
Don Primo,13467,2014-04-08,0,24.1,3.9,15.34,7.7,4.53,22.8 N,55.2 NE,545.4,19.9,4.9,6.84,
Don Primo,13467,2014-04-09,0,25,6.3,15.94,6,1.97,93.5 E,62.5 NE,404.61,31.01,3.4,5.03,
Don Primo,13467,2014-04-10,0,28.6,3.4,17.29,4.6,1.27,6.1 N,19.7 N,551.97,27.11,4.8,6.11,
Don Primo,13467,2014-04-11,0,29.5,6.8,20.02,4.7,1,208.4 S,60.2 NE,473.94,26.11,4.1,5.62,
Don Primo,13467,2014-04-12,0,29.4,8.3,20.44,7.3,1.74,221.2 S,147.9 SE,545.81,24.04,5.1,6.21,
Don Primo,13467,2014-04-13,0,29.2,8.7,20.31,9.1,2.83,261.9 SO,208.6 S,518.27,23.43,5.1,6.23,
Don Primo,13467,2014-04-14,0,30.5,7.8,19.9,8.3,1.98,282.6 O,197.8 S,556.23,28.12,5.2,6.12,
Don Primo,13467,2014-04-15,0,27.2,12,18.66,7.6,2.73,120.6 E,90.5 E,503.4,42.44,4.3,5.42,
Don Primo,13467,2014-04-16,0,26.7,5.3,16.75,9.9,4.26,243.7 SO,290.2 O,495.65,44.41,4.8,5.61,
Don Primo,13467,2014-04-17,0,24.8,15.3,19.04,8.2,3.33,296.2 O,238 SO,318.42,36.31,2.8,4.49,
Don Primo,13467,2014-04-18,0,27,7.9,18.39,9,1.78,87.9 NE,45.1 NE,414.87,36.98,3.9,4.92,
Don Primo,13467,2014-04-19,0,27.7,9.1,19.13,7.3,2.56,230.4 SO,274.6 O,475.08,48.72,4.3,5.18,
Don Primo,13467,2014-04-20,0,27.9,10.5,20.28,5.8,1.49,212.3 S,150.9 SE,383.38,48.31,3.3,4.37,
Don Primo,13467,2014-04-21,0,28.5,9,19.47,7.3,1.43,199.3 S,145.1 SE,427.25,46.51,3.7,4.68,
Don Primo,13467,2014-04-22,1,28.7,9.1,20.01,8,2.12,121.7 E,216.9 S,487.35,46.02,4.4,5.19,
Don Primo,13467,2014-04-23,0,29.2,9.9,20.5,9.1,2.34,242.6 SO,184 S,563.82,37.33,5.2,5.96,
Don Primo,13467,2014-04-24,0,29.6,9,21.07,5.8,1.79,272 O,233.9 SO,559.44,23.62,5.3,6.19,
Don Primo,13467,2014-04-25,0,27.9,10.5,20.51,7.6,2.17,247.8 SO,240.8 SO,437.2,28.85,4,5.25,
Don Primo,13467,2014-04-26,0,28.8,10,20.46,9.1,3.41,229.4 SO,193 S,473.64,32.7,4.8,5.69,
