Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2011-07-29,0,29.2,15.6,21.92,0,0,93.30 E,79.20 NE,<null>,57.28,<null>,<null>,
396,2011-07-30,0,24.7,12.9,19.45,0,0,88.80 NE,74.00 NE,<null>,60.3,<null>,<null>,
396,2011-07-31,0,25.9,15.6,20.07,0,0,36.60 N,53.70 NE,<null>,61.38,<null>,<null>,
396,2011-08-01,0,26.1,15.2,18.51,0,0,46.80 NE,35.20 N,<null>,70.67,<null>,<null>,
396,2011-08-02,0,28.5,19.5,24.85,0,0,82.10 NE,72.10 NE,<null>,45.32,<null>,<null>,
396,2011-08-03,0,29.3,13.4,21.47,0,0,65.00 NE,78.70 NE,<null>,56.75,<null>,<null>,
396,2011-08-04,0,25.6,17,21.16,0,0,122.10 E,104.60 E,<null>,61.54,<null>,<null>,
396,2011-08-05,1.7,30,15.5,21.2,0,0,81.60 NE,272.60 O,<null>,68.02,<null>,<null>,
396,2011-08-06,34,28.3,13.8,20.1,0,0,299.30 O,355.60 NO,<null>,72.82,<null>,<null>,
396,2011-08-07,1.3,28.5,13.6,20.21,0,0,,299.50 O,<null>,69.66,<null>,<null>,
396,2011-08-08,0,26.2,15.8,20.14,0,0,182.70 S,205.90 S,<null>,69.56,<null>,<null>,
396,2011-08-09,7.5,28.4,13.3,19.71,0,0,255.30 SO,,<null>,73.35,<null>,<null>,
396,2011-08-10,4.8,29.3,15.7,21.38,0,0,221.90 S,174.70 SE,<null>,70.22,<null>,<null>,
396,2011-08-11,0.6,29.1,13.8,21.57,0,0,246.20 SO,219.80 S,<null>,65.9,<null>,<null>,
396,2011-08-12,0.3,29.4,15.7,21.58,0,0,281.00 O,103.40 E,<null>,69.09,<null>,<null>,
396,2011-08-13,0,28.7,15,21.44,0,0,192.00 S,180.50 S,<null>,66.81,<null>,<null>,
396,2011-08-14,0,28,13,20.28,0,0,189.10 S,175.00 SE,<null>,66.31,<null>,<null>,
396,2011-08-15,0,28.3,13.4,21.14,0,0,138.60 SE,72.00 NE,<null>,55.35,<null>,<null>,
396,2011-08-16,0,29.4,13.2,21.33,0,0,49.30 NE,57.20 NE,<null>,53.29,<null>,<null>,
396,2011-08-17,0,29.2,11.9,21.13,0,0,51.40 NE,48.40 NE,<null>,54.05,<null>,<null>,
396,2011-08-18,0,29.8,12.7,21.16,0,0,57.80 NE,61.50 NE,<null>,47.24,<null>,<null>,
396,2011-08-19,0,29.6,12.1,21.34,0,0,170.10 SE,114.80 E,<null>,49.28,<null>,<null>,
396,2011-08-20,0,30.4,13.7,22.18,0,0,118.80 E,88.10 NE,<null>,48.83,<null>,<null>,
396,2011-08-21,0,28.1,13.3,21.32,0,0,126.50 E,69.20 NE,<null>,54.55,<null>,<null>,
396,2011-08-22,0,26.8,15.5,20.7,0,0,48.40 NE,59.30 NE,<null>,61.53,<null>,<null>,
396,2011-08-23,0,26.4,15.8,20.83,0,0,61.80 NE,51.50 NE,<null>,62.93,<null>,<null>,
396,2011-08-24,0,29.7,14.3,21.51,0,0,148.90 SE,121.60 E,<null>,64.6,<null>,<null>,
396,2011-08-25,0,29.1,13.7,21.54,0,0,96.10 E,113.50 E,<null>,61.53,<null>,<null>,
396,2011-08-26,4.6,26.3,14.1,20.82,0,0,71.90 NE,65.70 NE,<null>,65.87,<null>,<null>,
396,2011-08-27,1.1,25.6,15.8,19.85,0,0,76.10 NE,74.00 NE,<null>,77.46,<null>,<null>,
396,2011-08-28,5.2,25.8,14.7,18.56,0,0,191.70 S,229.40 SO,<null>,80.73,<null>,<null>,
396,2011-08-29,0,27.4,12.1,19.84,0,0,,92.10 E,<null>,65.68,<null>,<null>,
396,2011-08-30,0,27.6,11.3,19.92,0,0,7.30 N,12.10 N,<null>,59.54,<null>,<null>,
396,2011-08-31,0,26.6,12.8,19.31,0,0,10.50 N,80.90 NE,<null>,66.69,<null>,<null>,
396,2011-09-01,6.1,22.3,16.7,18.65,0,0,190.90 S,205.80 S,<null>,85.51,<null>,<null>,
396,2011-09-02,3.1,27.7,16.7,20.69,0,0,193.60 S,189.40 S,<null>,76.94,<null>,<null>,
396,2011-09-03,27.8,23.2,14.8,17.97,0,0,28.30 N,203.40 S,<null>,82.09,<null>,<null>,
396,2011-09-04,12.1,26.2,15.7,19.47,0,0,184.20 S,323.00 NO,<null>,79.46,<null>,<null>,
396,2011-09-05,0,23.9,15.1,19.58,0,0,191.90 S,61.20 NE,<null>,70.62,<null>,<null>,
396,2011-09-06,0,24.7,13.6,18.54,0,0,67.10 NE,58.10 NE,<null>,72.28,<null>,<null>,
396,2011-09-07,0,25.3,10.6,18,0,0,159.00 SE,88.70 NE,<null>,59.98,<null>,<null>,
396,2011-09-08,0,25.2,6.4,16.29,0,0,139.90 SE,119.00 E,<null>,56.03,<null>,<null>,
396,2011-09-09,0,25.4,7.1,16.94,0,0,61.60 NE,58.20 NE,<null>,56.73,<null>,<null>,
